PA_RANK,Rank,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,HR_per_PA,RBI_per_PA,R_per_PA,WAR_per_PA
1,1,Aaron Judge,NYY,159,686,59,111,138,9,16.3%,25.3%,0.361,0.328,0.299,0.418,0.66,0.448,199,-0.7,76.9,-7.7,9.5,0.08600583090379009,0.20116618075801748,0.1618075801749271,0.013848396501457727
2,2,Juan Soto,NYM,159,686,37,107,103,10,18.7%,15.9%,0.265,0.297,0.289,0.423,0.554,0.415,173,-1.5,58.1,-8.4,7.5,0.05393586005830904,0.15014577259475217,0.15597667638483964,0.010932944606413994
3,3,Bobby Witt Jr.,KCR,159,686,33,112,106,36,7.3%,16.1%,0.248,0.323,0.306,0.36,0.554,0.385,150,2.1,41.7,7.3,7.4,0.048104956268221574,0.15451895043731778,0.16326530612244897,0.010787172011661808
4,4,Gunnar Henderson,BAL,157,679,34,105,100,18,10.8%,22.9%,0.246,0.32,0.279,0.36,0.525,0.376,151,0.7,40.1,7.3,7.2,0.050073637702503684,0.14727540500736377,0.15463917525773196,0.010603829160530192
5,8,Yordan Alvarez,HOU,134,581,38,89,104,4,11.7%,16.7%,0.295,0.314,0.308,0.397,0.602,0.42,181,-0.9,52.9,-13.2,6.1,0.06540447504302926,0.17900172117039587,0.153184165232358,0.010499139414802065
6,10,Ronald Acuña Jr.,ATL,131,567,31,83,89,41,11.3%,17.8%,0.252,0.326,0.304,0.391,0.556,0.402,159,2.6,42.6,-6.5,5.7,0.054673721340388004,0.15696649029982362,0.14638447971781304,0.010052910052910053
7,5,Shohei Ohtani,LAD,154,665,48,111,124,35,12.1%,22.9%,0.323,0.313,0.291,0.38,0.613,0.415,171,1.9,58.2,-16.6,6.6,0.07218045112781955,0.18646616541353384,0.16691729323308271,0.009924812030075187
8,13,Mike Trout,LAA,130,560,36,82,92,11,11.5%,26.2%,0.279,0.306,0.267,0.359,0.545,0.383,152,0.0,33.1,0.4,5.4,0.06428571428571428,0.16428571428571428,0.14642857142857144,0.009642857142857144
9,6,Julio Rodríguez,SEA,157,679,33,87,97,32,7.3%,23.6%,0.217,0.336,0.287,0.346,0.504,0.363,145,2.3,37.5,2.2,6.4,0.048600883652430045,0.14285714285714285,0.12812960235640647,0.009425625920471283
10,18,Corey Seager,TEX,126,546,28,71,82,3,9.4%,17.0%,0.23,0.296,0.282,0.353,0.512,0.369,143,-0.9,26.3,3.8,5.0,0.05128205128205128,0.15018315018315018,0.13003663003663005,0.009157509157509158
